City_ID,City,Country,date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
276,Kaitangata,NZ,2021-1205 20:48:43,-46.2817,169.8464,53.92,54,100,6.35
277,Luganville,VU,2021-1205 20:48:43,-15.5333,167.1667,82.22,74,33,5.86
278,Maniitsoq,GL,2021-1205 20:48:43,65.4167,-52.9,26.73,81,100,31.0
279,Tessalit,ML,2021-1205 20:48:43,20.1986,1.0114,69.85,15,86,9.78
280,Ca Mau,VN,2021-1205 20:48:44,9.1769,105.15,70.45,84,99,5.35
281,Mount Isa,AU,2021-1205 20:48:44,-20.7333,139.5,74.97,69,99,12.66
282,Mchinji,MW,2021-1205 20:48:44,-13.7984,32.8802,73.62,49,1,9.69
283,Boyuibe,BO,2021-1205 20:48:45,-20.4167,-63.2833,68.68,84,100,4.16
284,Margate,GB,2021-1205 20:48:45,51.3813,1.3862,42.69,85,97,5.99
285,Labuan,MY,2021-1205 20:45:20,5.2767,115.2417,77.16,100,40,0.0
286,Palana,RU,2021-1205 20:48:45,59.1167,159.9667,19.63,87,100,31.14
287,Talnakh,RU,2021-1205 20:48:46,69.4865,88.3972,-20.79,99,100,13.91
288,Kita,ML,2021-1205 20:48:46,13.0349,-9.4895,78.73,15,99,5.64
289,Athabasca,CA,2021-1205 20:44:38,54.7169,-113.2854,-0.58,60,68,11.43
290,Tura,IN,2021-1205 20:48:47,25.5198,90.2201,65.59,83,100,0.85
291,Marzuq,YE,2021-1205 20:48:47,14.4,46.4667,61.09,43,4,1.3
292,Coruripe,BR,2021-1205 20:48:47,-10.1256,-36.1756,78.39,82,85,11.23
293,Alofi,NU,2021-1205 20:48:48,-19.0595,-169.9187,80.49,83,75,16.11
294,North Bend,US,2021-1205 20:48:48,43.4065,-124.2243,53.17,89,1,6.91
295,Tottori,JP,2021-1205 20:48:48,35.5,134.2333,41.11,78,0,4.34
296,Roald,NO,2021-1205 20:46:18,62.5833,6.1333,35.74,69,75,16.11
297,Buraydah,SA,2021-1205 20:48:49,26.326,43.975,61.25,23,23,12.26
298,Baruun-Urt,MN,2021-1205 20:48:49,46.6806,113.2792,18.1,76,2,7.72
